Pet Name,Species,Breed,Age,Owner Name,Visit Date,Service Type,Cost,Vet Name,Follow Up Required
"Max","Dog","Golden Retriever",3,"John Smith","2025-01-15","Annual Checkup",75.00,"Dr. Sarah Wilson","No"
"Luna","Cat","Siamese",5,"Maria Garcia","2025-01-15","Vaccination",45.50,"Dr. James Brown","No"
"Charlie","Dog","French Bulldog",2,"Robert Taylor","2025-01-16","Dental Cleaning",150.00,"Dr. Sarah Wilson","Yes"
"Bella","Cat","Persian",4,"Emily Johnson","2025-01-16","Emergency Visit",200.00,"Dr. Michael Lee","Yes"
"Rocky","Dog","German Shepherd",6,"David Anderson","2025-01-17","Surgery",500.00,"Dr. Michael Lee","Yes"
"Milo","Cat","Maine Coon",1,"Lisa Williams","2025-01-17","First Visit",65.00,"Dr. James Brown","No"
"Cooper","Dog","Labrador",4,"Jennifer Davis","2025-01-18","Vaccination",45.50,"Dr. Sarah Wilson","No"
"Lucy","Cat","Ragdoll",2,"William Brown","2025-01-18","Dental Cleaning",125.00,"Dr. Michael Lee","No"
"Bailey","Dog","Poodle",7,"Sophie Martinez","2025-01-19","Annual Checkup",75.00,"Dr. James Brown","No"
"Oliver","Cat","British Shorthair",3,"James Wilson","2025-01-19","Emergency Visit",180.00,"Dr. Sarah Wilson","Yes"
"Zeus","Dog","Rottweiler",5,"Michelle Lee","2025-01-20","Surgery",450.00,"Dr. Michael Lee","Yes"
"Lily","Cat","Bengal",2,"Thomas Anderson","2025-01-20","Vaccination",45.50,"Dr. James Brown","No"
"Oscar","Dog","Dachshund",4,"Sarah Thompson","2025-01-21","Dental Cleaning",135.00,"Dr. Sarah Wilson","No"
"Nala","Cat","Sphynx",1,"Kevin White","2025-01-21","First Visit",65.00,"Dr. Michael Lee","No"
"Duke","Dog","Husky",3,"Patricia Clark","2025-01-22","Annual Checkup",75.00,"Dr. James Brown","No"
